rank,team,n,output,time
1,SpecOP,130,11,1.8246792294085024
2,The Hackstreet Boys,40,4,0.0024411827325820927
3,Tree new bee,40,4,0.002725385129451752
4,Not your team,40,4,0.003326866775751114
5,Iron-Man,40,4,0.0040834322571754456
6,Gopher Gold,40,4,0.004193507134914397
